Zeit,TSLA
Thu Feb 21 16:36:30 2019,300.32000732421875
Thu Feb 21 16:36:31 2019,300.32000732421875
Thu Feb 21 16:36:32 2019,300.5
Thu Feb 21 16:36:33 2019,300.5
Thu Feb 21 16:36:34 2019,300.5
Thu Feb 21 16:36:34 2019,300.5
Thu Feb 21 16:36:35 2019,300.5
Thu Feb 21 16:36:36 2019,300.5
Thu Feb 21 16:36:37 2019,300.5
Thu Feb 21 16:36:37 2019,300.5
Thu Feb 21 16:36:38 2019,300.4849853515625
Thu Feb 21 16:36:39 2019,300.4949951171875
Thu Feb 21 16:36:40 2019,300.3900146484375
Thu Feb 21 16:36:41 2019,300.3900146484375
Thu Feb 21 16:36:42 2019,300.3900146484375
Thu Feb 21 16:36:43 2019,300.3900146484375
Thu Feb 21 16:36:44 2019,300.3900146484375
Thu Feb 21 16:36:45 2019,300.3900146484375
