Zeit,TSLA,AAPL,EA,GOOG
Tue Feb 26 15:30:05 2019,292.25,173.60000610351562,95.55500030517578,1106.5799560546875
Tue Feb 26 15:30:14 2019,291.70001220703125,173.50999450683594,95.6500015258789,1106.93994140625
Tue Feb 26 15:30:24 2019,291.6199951171875,173.39999389648438,95.66000366210938,1106.8299560546875
Tue Feb 26 15:30:33 2019,291.9366149902344,173.39999389648438,95.29209899902344,1106.510009765625
Tue Feb 26 15:30:43 2019,292.0133972167969,173.5500030517578,95.29209899902344,1106.1199951171875
Tue Feb 26 15:30:52 2019,292.1099853515625,173.57000732421875,95.29209899902344,1105.6820068359375
Tue Feb 26 15:31:01 2019,293.135009765625,173.75,95.29209899902344,1105.6820068359375
Tue Feb 26 15:31:10 2019,292.30499267578125,173.67149353027344,95.72000122070312,1106.280029296875
Tue Feb 26 15:31:18 2019,292.31500244140625,173.6199951171875,95.70999908447266,1105.530029296875
Tue Feb 26 15:31:28 2019,291.70001220703125,173.52000427246094,95.61000061035156,1105.530029296875
Tue Feb 26 15:31:37 2019,291.510009765625,173.47000122070312,95.33499908447266,1105.2550048828125
Tue Feb 26 15:31:45 2019,291.6600036621094,173.39999389648438,95.33499908447266,1105.010009765625
Tue Feb 26 15:31:54 2019,291.489990234375,173.49000549316406,95.33499908447266,1105.175048828125
Tue Feb 26 15:32:03 2019,291.5299987792969,173.4600067138672,95.33999633789062,1105.175048828125
Tue Feb 26 15:32:11 2019,291.7900085449219,173.4199981689453,95.33499908447266,1105.175048828125
Tue Feb 26 15:32:20 2019,292.19000244140625,173.31199645996094,95.41500091552734,1105.175048828125
Tue Feb 26 15:32:30 2019,292.04998779296875,173.26119995117188,95.48999786376953,1105.010009765625
Tue Feb 26 15:32:39 2019,291.9800109863281,173.3300018310547,95.55789947509766,1104.8699951171875
Tue Feb 26 15:32:48 2019,291.5950012207031,173.2899932861328,95.69000244140625,1104.31005859375
Tue Feb 26 15:32:57 2019,291.8109130859375,173.44000244140625,95.77999877929688,1104.0899658203125
Tue Feb 26 15:33:07 2019,291.5799865722656,173.49049377441406,95.98999786376953,1104.9599609375
Tue Feb 26 15:33:16 2019,290.05499267578125,173.61000061035156,96.12000274658203,1104.9599609375
Tue Feb 26 15:33:25 2019,290.1640930175781,173.72000122070312,96.125,1105.43994140625
Tue Feb 26 15:33:35 2019,290.1099853515625,173.8199005126953,96.11009979248047,1105.06494140625
Tue Feb 26 15:33:44 2019,290.75,173.85000610351562,95.91000366210938,1105.06494140625
Tue Feb 26 15:33:53 2019,290.3500061035156,173.7899932861328,95.86000061035156,1105.4000244140625
Tue Feb 26 15:34:02 2019,290.3450012207031,173.9499969482422,95.93000030517578,1105.4000244140625
Tue Feb 26 15:34:11 2019,289.7771911621094,173.97500610351562,95.8499984741211,1105.4000244140625
Tue Feb 26 15:34:20 2019,290.04998779296875,173.97999572753906,95.94999694824219,1104.6175537109375
Tue Feb 26 15:34:29 2019,289.1000061035156,174.05999755859375,95.91999816894531,1104.6175537109375
Tue Feb 26 15:34:39 2019,289.3999938964844,173.96690368652344,95.91999816894531,1104.6175537109375
Tue Feb 26 15:34:48 2019,289.20001220703125,173.8668975830078,95.91999816894531,1103.655029296875
Tue Feb 26 15:34:58 2019,289.32501220703125,173.6699981689453,95.91999816894531,1102.427978515625
Tue Feb 26 15:35:07 2019,289.20001220703125,173.67999267578125,95.86750030517578,1102.300048828125
Tue Feb 26 15:35:18 2019,289.6300048828125,173.67030334472656,95.87999725341797,1102.530029296875
Tue Feb 26 15:35:26 2019,289.2900085449219,173.7100067138672,95.8499984741211,1102.0450439453125
Tue Feb 26 15:35:35 2019,289.33770751953125,173.67999267578125,96.04000091552734,1102.1300048828125
Tue Feb 26 15:35:45 2019,289.5199890136719,173.77999877929688,96.2300033569336,1102.4300537109375
Tue Feb 26 15:35:54 2019,289.46380615234375,173.98609924316406,96.18000030517578,1102.4300537109375
Tue Feb 26 15:36:02 2019,289.9100036621094,174.1300048828125,96.19999694824219,1102.4300537109375
Tue Feb 26 15:36:11 2019,290.2650146484375,174.13999938964844,96.1500015258789,1102.5
Tue Feb 26 15:36:21 2019,290.239990234375,174.14999389648438,96.11000061035156,1102.5
Tue Feb 26 15:36:30 2019,290.2049865722656,174.10000610351562,96.0999984741211,1101.7099609375
Tue Feb 26 15:36:40 2019,290.4256896972656,174.10000610351562,96.01000213623047,1101.02001953125
Tue Feb 26 15:36:50 2019,290.7200012207031,174.11570739746094,96.02999877929688,1101.02001953125
Tue Feb 26 15:37:00 2019,290.6600036621094,174.17999267578125,96.0,1100.989990234375
Tue Feb 26 15:37:09 2019,291.5,174.1999969482422,96.0,1101.75
Tue Feb 26 15:37:18 2019,291.18499755859375,174.1300048828125,96.0199966430664,1100.5035400390625
Tue Feb 26 15:37:28 2019,291.20001220703125,174.11000061035156,95.9800033569336,1100.5035400390625
Tue Feb 26 15:37:38 2019,291.1000061035156,174.13999938964844,95.9800033569336,1100.0
Tue Feb 26 15:37:47 2019,291.3800048828125,174.17999267578125,96.0199966430664,1100.780029296875
Tue Feb 26 15:37:56 2019,291.3399963378906,174.1699981689453,96.04000091552734,1100.75
Tue Feb 26 15:38:06 2019,291.6499938964844,174.20840454101562,95.98999786376953,1100.6474609375
Tue Feb 26 15:38:15 2019,291.67999267578125,174.16619873046875,95.99500274658203,1100.4949951171875
Tue Feb 26 15:38:24 2019,291.7200012207031,174.17799377441406,96.08999633789062,1100.4949951171875
Tue Feb 26 15:38:33 2019,292.29998779296875,174.3634033203125,96.13999938964844,1102.1300048828125
Tue Feb 26 15:38:43 2019,292.41619873046875,174.36000061035156,96.13500213623047,1102.1300048828125
Tue Feb 26 15:38:52 2019,292.29998779296875,174.41000366210938,96.30999755859375,1101.54736328125
Tue Feb 26 15:39:02 2019,292.260009765625,174.39999389648438,96.35030364990234,1102.0
Tue Feb 26 15:39:11 2019,292.05999755859375,174.38999938964844,96.36000061035156,1101.9327392578125
Tue Feb 26 15:39:20 2019,292.239990234375,174.4600067138672,96.3499984741211,1102.4000244140625
Tue Feb 26 15:39:29 2019,292.6099853515625,174.47410583496094,96.29000091552734,1102.4000244140625
Tue Feb 26 15:39:38 2019,293.32000732421875,174.4149932861328,96.33599853515625,1102.4000244140625
Tue Feb 26 15:39:47 2019,292.69000244140625,174.3820037841797,96.33599853515625,1102.4000244140625
Tue Feb 26 15:39:56 2019,293.0967102050781,174.38999938964844,96.43000030517578,1102.4300537109375
Tue Feb 26 15:40:05 2019,292.6499938964844,174.4600067138672,96.38999938964844,1102.43505859375
Tue Feb 26 15:40:14 2019,292.69000244140625,174.47999572753906,96.43060302734375,1101.5999755859375
Tue Feb 26 15:40:23 2019,292.5,174.4600067138672,96.44499969482422,1100.5999755859375
Tue Feb 26 15:40:33 2019,292.659912109375,174.5,96.5,1100.56005859375
Tue Feb 26 15:40:42 2019,292.5535888671875,174.49159240722656,96.55000305175781,1100.56005859375
Tue Feb 26 15:40:52 2019,292.69000244140625,174.5500030517578,96.66000366210938,1101.3580322265625
Tue Feb 26 15:41:01 2019,292.6000061035156,174.6199951171875,96.66999816894531,1101.3580322265625
Tue Feb 26 15:41:11 2019,292.2250061035156,174.67010498046875,96.87999725341797,1101.4857177734375
Tue Feb 26 15:41:20 2019,292.4100036621094,174.72000122070312,96.91999816894531,1102.074951171875
Tue Feb 26 15:41:29 2019,292.2950134277344,174.67999267578125,96.9000015258789,1101.5
Tue Feb 26 15:41:38 2019,292.4649963378906,174.74000549316406,96.80000305175781,1101.5
Tue Feb 26 15:41:47 2019,292.29998779296875,174.7220001220703,96.78009796142578,1101.8800048828125
Tue Feb 26 15:41:56 2019,292.0,174.75,96.82499694824219,1101.6357421875
Tue Feb 26 15:42:05 2019,291.8599853515625,174.77000427246094,96.80999755859375,1101.5699462890625
Tue Feb 26 15:42:14 2019,292.2900085449219,174.702392578125,96.83999633789062,1101.9100341796875
Tue Feb 26 15:42:23 2019,292.6600036621094,174.64999389648438,96.82749938964844,1101.5308837890625
Tue Feb 26 15:42:33 2019,293.1809997558594,174.6699981689453,96.83499908447266,1101.5308837890625
Tue Feb 26 15:42:42 2019,293.42498779296875,174.63999938964844,96.83499908447266,1100.989990234375
Tue Feb 26 15:42:51 2019,293.6449890136719,174.610107421875,97.02999877929688,1100.989990234375
Tue Feb 26 15:43:00 2019,293.8699951171875,174.63999938964844,97.06999969482422,1100.81005859375
Tue Feb 26 15:43:09 2019,294.6400146484375,174.69000244140625,97.19499969482422,1101.510009765625
Tue Feb 26 15:43:19 2019,294.3500061035156,174.74000549316406,97.31999969482422,1101.510009765625
Tue Feb 26 15:43:29 2019,294.5799865722656,174.7899932861328,97.2854995727539,1101.510009765625
Tue Feb 26 15:43:39 2019,294.6400146484375,174.82569885253906,97.33999633789062,1102.322021484375
Tue Feb 26 15:43:47 2019,294.70001220703125,174.8090057373047,97.36499786376953,1102.260009765625
Tue Feb 26 15:43:56 2019,294.7699890136719,174.85000610351562,97.58000183105469,1102.77001953125
Tue Feb 26 15:44:06 2019,294.5899963378906,174.83999633789062,97.7699966430664,1102.739990234375
Tue Feb 26 15:44:15 2019,294.3399963378906,174.8000030517578,97.90499877929688,1102.739990234375
Tue Feb 26 15:44:24 2019,294.2099914550781,174.8101043701172,98.02999877929688,1102.9100341796875
Tue Feb 26 15:44:33 2019,294.2550048828125,174.7899932861328,98.01529693603516,1103.3299560546875
Tue Feb 26 15:44:42 2019,294.1099853515625,174.77000427246094,97.87169647216797,1103.1099853515625
Tue Feb 26 15:44:51 2019,294.0,174.77999877929688,97.81500244140625,1103.1099853515625
Tue Feb 26 15:45:01 2019,293.94000244140625,174.7100067138672,97.80000305175781,1103.010009765625
Tue Feb 26 15:45:10 2019,293.9200134277344,174.7100067138672,97.77999877929688,1102.6600341796875
Tue Feb 26 15:45:20 2019,293.3399963378906,174.69000244140625,97.76499938964844,1102.905029296875
Tue Feb 26 15:45:29 2019,293.55999755859375,174.64999389648438,97.78019714355469,1102.905029296875
