Zeit,TSLA,AAPL,EA,GOOG
Fri Mar  1 18:28:09 2019,295.94000244140625,173.8300018310547,96.91999816894531,1133.6500244140625
Fri Mar  1 18:28:20 2019,296.1700134277344,173.83999633789062,96.91999816894531,1133.6500244140625
Fri Mar  1 18:28:31 2019,296.1189880371094,173.8699951171875,96.9000015258789,1133.9000244140625
Fri Mar  1 18:28:40 2019,296.1242980957031,173.84500122070312,96.90499877929688,1133.9000244140625
Fri Mar  1 18:28:49 2019,296.0799865722656,173.83999633789062,96.91000366210938,1133.72998046875
Fri Mar  1 18:28:59 2019,296.20989990234375,173.8699951171875,96.93000030517578,1133.72998046875
Fri Mar  1 18:29:08 2019,296.1954040527344,173.86390686035156,96.94000244140625,1133.72998046875
Fri Mar  1 18:29:18 2019,296.0,173.8699951171875,96.94000244140625,1133.846435546875
Fri Mar  1 18:29:27 2019,295.80999755859375,173.8699951171875,96.94000244140625,1133.846435546875
Fri Mar  1 18:29:37 2019,295.79998779296875,173.88499450683594,96.91999816894531,1133.846435546875
Fri Mar  1 18:29:46 2019,295.7200012207031,173.8800048828125,96.91999816894531,1133.846435546875
Fri Mar  1 18:29:56 2019,295.6000061035156,173.86000061035156,96.94000244140625,1133.846435546875
Fri Mar  1 18:30:06 2019,295.5401916503906,173.83999633789062,96.9800033569336,1134.010009765625
Fri Mar  1 18:30:15 2019,295.7699890136719,173.83709716796875,96.9800033569336,1134.010009765625
Fri Mar  1 18:30:24 2019,295.78338623046875,173.8300018310547,97.01000213623047,1134.1700439453125
Fri Mar  1 18:30:35 2019,295.6650085449219,173.86000061035156,97.01000213623047,1134.1700439453125
Fri Mar  1 18:30:44 2019,295.55999755859375,173.82000732421875,97.0250015258789,1134.06005859375
Fri Mar  1 18:30:53 2019,295.3999938964844,173.8300018310547,97.04000091552734,1134.06005859375
Fri Mar  1 18:31:02 2019,295.3699951171875,173.84500122070312,97.0199966430664,1134.06005859375
Fri Mar  1 18:31:12 2019,295.25,173.85989379882812,97.04000091552734,1134.06005859375
Fri Mar  1 18:31:22 2019,295.05999755859375,173.88999938964844,97.05000305175781,1134.75
Fri Mar  1 18:31:32 2019,295.25,173.91000366210938,97.06999969482422,1134.75
Fri Mar  1 18:31:41 2019,295.25,173.91400146484375,97.02999877929688,1134.469970703125
Fri Mar  1 18:31:52 2019,295.1619873046875,173.90499877929688,97.01000213623047,1134.469970703125
Fri Mar  1 18:32:01 2019,295.260009765625,173.89999389648438,97.04000091552734,1134.469970703125
Fri Mar  1 18:32:10 2019,295.2200012207031,173.89999389648438,97.04000091552734,1134.1700439453125
Fri Mar  1 18:32:20 2019,295.1199951171875,173.90499877929688,97.04000091552734,1134.199951171875
Fri Mar  1 18:32:29 2019,295.3883056640625,173.91419982910156,97.04000091552734,1134.199951171875
Fri Mar  1 18:32:39 2019,295.3599853515625,173.9199981689453,97.04000091552734,1134.199951171875
Fri Mar  1 18:32:48 2019,295.32000732421875,173.91000366210938,97.04000091552734,1134.199951171875
Fri Mar  1 18:32:57 2019,295.32000732421875,173.9199981689453,97.04000091552734,1134.199951171875
Fri Mar  1 18:33:07 2019,295.2200012207031,173.9199981689453,97.04000091552734,1134.199951171875
Fri Mar  1 18:33:17 2019,295.2099914550781,173.9499969482422,97.04000091552734,1134.199951171875
Fri Mar  1 18:33:26 2019,295.2799987792969,173.9600067138672,97.05999755859375,1134.199951171875
Fri Mar  1 18:33:36 2019,295.25,173.9499969482422,97.05999755859375,1134.699951171875
Fri Mar  1 18:33:46 2019,295.1000061035156,173.94000244140625,97.05000305175781,1134.760009765625
Fri Mar  1 18:33:56 2019,295.1099853515625,173.93499755859375,97.05999755859375,1134.699951171875
Fri Mar  1 18:34:06 2019,295.3258972167969,173.95989990234375,97.07140350341797,1134.989990234375
Fri Mar  1 18:34:15 2019,295.2200012207031,173.92999267578125,97.06999969482422,1134.77001953125
Fri Mar  1 18:34:25 2019,295.25,173.9199981689453,97.05999755859375,1134.77001953125
Fri Mar  1 18:34:34 2019,295.25,173.93670654296875,97.04000091552734,1134.77001953125
Fri Mar  1 18:34:43 2019,295.1000061035156,173.9373016357422,97.05000305175781,1134.77001953125
Fri Mar  1 18:34:52 2019,295.17999267578125,173.9499969482422,97.08049774169922,1134.77001953125
Fri Mar  1 18:35:02 2019,295.2200012207031,173.9499969482422,97.08999633789062,1134.75
Fri Mar  1 18:35:12 2019,295.3175048828125,173.99000549316406,97.12000274658203,1134.8800048828125
Fri Mar  1 18:35:21 2019,295.20001220703125,173.97999572753906,97.12000274658203,1134.8800048828125
Fri Mar  1 18:35:31 2019,295.25,174.02000427246094,97.12000274658203,1134.8800048828125
Fri Mar  1 18:35:41 2019,295.2099914550781,174.0,97.13999938964844,1134.8800048828125
Fri Mar  1 18:35:50 2019,295.0199890136719,174.0,97.13999938964844,1134.8800048828125
Fri Mar  1 18:35:59 2019,295.2699890136719,174.00999450683594,97.13999938964844,1134.8800048828125
Fri Mar  1 18:36:09 2019,295.54998779296875,174.0399932861328,97.13999938964844,1134.8800048828125
Fri Mar  1 18:36:18 2019,295.7887878417969,174.00430297851562,97.12999725341797,1133.9000244140625
Fri Mar  1 18:36:28 2019,295.4800109863281,174.00999450683594,97.12000274658203,1133.949951171875
Fri Mar  1 18:36:37 2019,295.4100036621094,174.02340698242188,97.16999816894531,1133.56005859375
Fri Mar  1 18:36:46 2019,295.1099853515625,173.9949951171875,97.16000366210938,1133.8599853515625
Fri Mar  1 18:36:56 2019,295.29998779296875,174.0399932861328,97.18000030517578,1133.97998046875
Fri Mar  1 18:37:06 2019,295.1400146484375,174.02999877929688,97.16000366210938,1133.97998046875
Fri Mar  1 18:37:15 2019,294.9599914550781,174.02369689941406,97.13999938964844,1133.97998046875
Fri Mar  1 18:37:25 2019,294.989990234375,174.0500030517578,97.1500015258789,1133.97998046875
Fri Mar  1 18:37:35 2019,294.6099853515625,174.0500030517578,97.26000213623047,1133.97998046875
Fri Mar  1 18:37:45 2019,294.5546875,174.0500030517578,97.24500274658203,1133.97998046875
Fri Mar  1 18:37:55 2019,294.6099853515625,174.02499389648438,97.24500274658203,1133.969970703125
Fri Mar  1 18:38:04 2019,294.760009765625,174.02999877929688,97.19999694824219,1133.969970703125
Fri Mar  1 18:38:14 2019,294.61859130859375,174.02999877929688,97.19999694824219,1133.969970703125
Fri Mar  1 18:38:23 2019,294.5150146484375,174.0500030517578,97.2300033569336,1133.969970703125
Fri Mar  1 18:38:33 2019,294.5390930175781,174.06300354003906,97.23999786376953,1133.969970703125
Fri Mar  1 18:38:41 2019,294.4200134277344,174.05999755859375,97.2300033569336,1133.969970703125
Fri Mar  1 18:38:51 2019,294.54998779296875,174.07000732421875,97.2300033569336,1133.969970703125
Fri Mar  1 18:39:00 2019,294.6199951171875,174.0800018310547,97.22000122070312,1133.969970703125
Fri Mar  1 18:39:09 2019,294.20550537109375,174.0800018310547,97.2300033569336,1133.969970703125
Fri Mar  1 18:39:19 2019,294.2601013183594,174.05999755859375,97.2300033569336,1134.3699951171875
Fri Mar  1 18:39:28 2019,294.32501220703125,174.0800018310547,97.25,1134.3699951171875
Fri Mar  1 18:39:37 2019,294.31500244140625,174.0800018310547,97.2750015258789,1134.3699951171875
Fri Mar  1 18:39:47 2019,294.3680114746094,174.0500030517578,97.2699966430664,1134.3699951171875
Fri Mar  1 18:39:56 2019,294.3999938964844,174.0500030517578,97.26000213623047,1134.3699951171875
Fri Mar  1 18:40:05 2019,294.2699890136719,174.06100463867188,97.2300033569336,1134.3800048828125
Fri Mar  1 18:40:15 2019,294.3900146484375,174.05999755859375,97.25,1134.3800048828125
Fri Mar  1 18:40:25 2019,294.32000732421875,174.06419372558594,97.25,1134.5899658203125
Fri Mar  1 18:40:34 2019,294.489990234375,174.0800018310547,97.25,1134.760009765625
Fri Mar  1 18:40:44 2019,294.4259948730469,174.0800018310547,97.26000213623047,1134.760009765625
Fri Mar  1 18:40:53 2019,294.239990234375,174.04989624023438,97.3499984741211,1134.760009765625
Fri Mar  1 18:41:03 2019,294.2120056152344,174.0500030517578,97.33499908447266,1134.760009765625
Fri Mar  1 18:41:12 2019,294.0779113769531,174.0500030517578,97.33499908447266,1134.760009765625
Fri Mar  1 18:41:21 2019,294.1000061035156,174.0500030517578,97.30000305175781,1134.7349853515625
Fri Mar  1 18:41:30 2019,294.4289855957031,174.0399932861328,97.30000305175781,1134.7349853515625
Fri Mar  1 18:41:40 2019,294.3399963378906,174.02499389648438,97.29000091552734,1134.7349853515625
Fri Mar  1 18:41:49 2019,294.29998779296875,174.03990173339844,97.29000091552734,1134.7349853515625
Fri Mar  1 18:41:59 2019,294.3500061035156,174.02999877929688,97.27999877929688,1134.728759765625
Fri Mar  1 18:42:08 2019,294.3599853515625,174.02650451660156,97.28500366210938,1134.728759765625
Fri Mar  1 18:42:18 2019,294.2799987792969,174.02499389648438,97.20999908447266,1134.728759765625
Fri Mar  1 18:42:28 2019,294.3699951171875,174.02499389648438,97.19999694824219,1134.62841796875
Fri Mar  1 18:42:38 2019,294.3299865722656,174.0399932861328,97.19999694824219,1134.81005859375
Fri Mar  1 18:42:47 2019,294.29998779296875,174.05999755859375,97.22000122070312,1134.81005859375
