Zeit,TSLA,AAPL,EA,GOOG
Mon Feb 25 17:30:14 2019,299.8699951171875,175.11000061035156,95.5,1113.8900146484375
Mon Feb 25 17:30:25 2019,299.6700134277344,175.0800018310547,95.45500183105469,1113.8900146484375
Mon Feb 25 17:30:35 2019,299.4800109863281,175.11000061035156,95.48999786376953,1113.780029296875
Mon Feb 25 17:30:44 2019,299.4599914550781,175.11000061035156,95.45999908447266,1113.89501953125
Mon Feb 25 17:30:53 2019,299.5,175.1199951171875,95.48999786376953,1113.9000244140625
Mon Feb 25 17:31:02 2019,299.4205017089844,175.13250732421875,95.51000213623047,1113.9000244140625
Mon Feb 25 17:31:11 2019,299.1199951171875,175.11500549316406,95.51000213623047,1113.9000244140625
Mon Feb 25 17:31:20 2019,299.239990234375,175.13999938964844,95.6500015258789,1114.4599609375
Mon Feb 25 17:31:30 2019,299.1299133300781,175.1999969482422,95.63999938964844,1114.47998046875
Mon Feb 25 17:31:39 2019,299.1600036621094,175.20530700683594,95.64569854736328,1114.47998046875
Mon Feb 25 17:31:48 2019,299.2099914550781,175.2100067138672,95.69000244140625,1114.6949462890625
Mon Feb 25 17:31:58 2019,299.0616149902344,175.24000549316406,95.72000122070312,1114.93994140625
Mon Feb 25 17:32:07 2019,299.04998779296875,175.27999877929688,95.63999938964844,1114.93994140625
Mon Feb 25 17:32:16 2019,298.8377990722656,175.25999450683594,95.6500015258789,1115.239990234375
Mon Feb 25 17:32:25 2019,298.8377990722656,175.27639770507812,95.69000244140625,1115.239990234375
Mon Feb 25 17:32:34 2019,298.7372131347656,175.25999450683594,95.69000244140625,1115.239990234375
Mon Feb 25 17:32:43 2019,298.6600036621094,175.27000427246094,95.72000122070312,1115.197509765625
Mon Feb 25 17:32:52 2019,298.7799987792969,175.2899932861328,95.69000244140625,1115.0699462890625
Mon Feb 25 17:33:02 2019,298.7799987792969,175.2899932861328,95.68000030517578,1114.8699951171875
Mon Feb 25 17:33:10 2019,299.0400085449219,175.32000732421875,95.68000030517578,1115.0450439453125
Mon Feb 25 17:33:20 2019,298.90008544921875,175.30999755859375,95.76000213623047,1115.0450439453125
Mon Feb 25 17:33:28 2019,298.90008544921875,175.32000732421875,95.75540161132812,1115.0450439453125
Mon Feb 25 17:33:37 2019,299.0799865722656,175.32640075683594,95.69999694824219,1114.8800048828125
Mon Feb 25 17:33:47 2019,298.8699951171875,175.2899932861328,95.69999694824219,1114.47998046875
Mon Feb 25 17:33:55 2019,298.8699951171875,175.34500122070312,95.69000244140625,1114.800048828125
Mon Feb 25 17:34:04 2019,298.96710205078125,175.3594970703125,95.74500274658203,1114.800048828125
Mon Feb 25 17:34:13 2019,298.989990234375,175.3800048828125,95.7300033569336,1114.800048828125
Mon Feb 25 17:34:23 2019,299.2101135253906,175.38999938964844,95.66000366210938,1114.800048828125
Mon Feb 25 17:34:32 2019,299.1000061035156,175.39999389648438,95.66000366210938,1114.800048828125
Mon Feb 25 17:34:42 2019,299.18060302734375,175.4199981689453,95.63999938964844,1114.800048828125
Mon Feb 25 17:34:51 2019,299.18060302734375,175.39500427246094,95.65499877929688,1114.800048828125
Mon Feb 25 17:35:00 2019,299.1000061035156,175.43499755859375,95.66999816894531,1114.800048828125
Mon Feb 25 17:35:09 2019,299.1000061035156,175.41000366210938,95.66000366210938,1114.800048828125
Mon Feb 25 17:35:19 2019,298.9523010253906,175.4149932861328,95.67579650878906,1114.800048828125
Mon Feb 25 17:35:28 2019,298.9465026855469,175.40980529785156,95.67579650878906,1114.800048828125
Mon Feb 25 17:35:38 2019,299.0,175.451904296875,95.75250244140625,1115.0450439453125
Mon Feb 25 17:35:47 2019,299.1499938964844,175.35000610351562,95.77999877929688,1114.75
Mon Feb 25 17:35:56 2019,299.1300048828125,175.30999755859375,95.86000061035156,1114.75
Mon Feb 25 17:36:05 2019,299.1400146484375,175.3126983642578,95.83000183105469,1114.75
Mon Feb 25 17:36:13 2019,299.17999267578125,175.32000732421875,95.87000274658203,1114.6199951171875
Mon Feb 25 17:36:22 2019,299.17999267578125,175.32000732421875,95.77999877929688,1114.550048828125
Mon Feb 25 17:36:32 2019,299.05499267578125,175.32460021972656,95.75,1114.550048828125
Mon Feb 25 17:36:41 2019,299.0,175.3000030517578,95.76000213623047,1114.4560546875
Mon Feb 25 17:36:50 2019,299.010009765625,175.25999450683594,95.76000213623047,1114.4560546875
Mon Feb 25 17:36:59 2019,299.19000244140625,175.2301025390625,95.81999969482422,1114.4560546875
Mon Feb 25 17:37:09 2019,299.30999755859375,175.22000122070312,95.9000015258789,1114.9681396484375
Mon Feb 25 17:37:18 2019,299.2300109863281,175.22999572753906,95.83999633789062,1114.7755126953125
Mon Feb 25 17:37:28 2019,299.1335144042969,175.16000366210938,95.87000274658203,1114.7755126953125
Mon Feb 25 17:37:37 2019,299.065185546875,175.2100067138672,95.88999938964844,1114.7755126953125
Mon Feb 25 17:37:45 2019,299.0768127441406,175.19000244140625,95.93000030517578,1115.0
Mon Feb 25 17:37:56 2019,299.0768127441406,175.1699981689453,95.94000244140625,1115.0
Mon Feb 25 17:38:05 2019,299.11981201171875,175.16000366210938,95.98999786376953,1115.0
