Zeit,TSLA,AAPL,EA,GOOG
Wed Feb 27 15:30:05 2019,301.6000061035156,173.25,98.5,1109.010009765625
Wed Feb 27 15:30:14 2019,301.5,173.80999755859375,98.96009826660156,1109.010009765625
Wed Feb 27 15:30:23 2019,301.55999755859375,173.8300018310547,99.18000030517578,1110.219970703125
Wed Feb 27 15:30:32 2019,301.4800109863281,173.7449951171875,98.95960235595703,1109.2099609375
Wed Feb 27 15:30:41 2019,301.07000732421875,173.96499633789062,98.83999633789062,1109.5400390625
Wed Feb 27 15:30:51 2019,301.05499267578125,174.00999450683594,98.87999725341797,1109.7149658203125
Wed Feb 27 15:31:00 2019,300.8349914550781,174.14990234375,98.86499786376953,1111.22998046875
Wed Feb 27 15:31:09 2019,300.6400146484375,174.05999755859375,98.8634033203125,1111.22998046875
Wed Feb 27 15:31:19 2019,300.6556091308594,174.0399932861328,98.86499786376953,1111.260009765625
Wed Feb 27 15:31:29 2019,300.9599914550781,174.05999755859375,98.94000244140625,1111.5450439453125
Wed Feb 27 15:31:38 2019,301.19000244140625,174.05250549316406,98.94000244140625,1112.0
Wed Feb 27 15:31:48 2019,301.7940979003906,174.0500030517578,98.94000244140625,1111.7249755859375
Wed Feb 27 15:31:57 2019,301.7699890136719,174.13999938964844,98.81500244140625,1111.3299560546875
Wed Feb 27 15:32:07 2019,301.489990234375,174.22999572753906,98.82499694824219,1111.5150146484375
Wed Feb 27 15:32:16 2019,301.8699951171875,174.30999755859375,98.83000183105469,1111.5150146484375
Wed Feb 27 15:32:26 2019,302.5,174.2100067138672,98.98999786376953,1111.5150146484375
Wed Feb 27 15:32:35 2019,302.6499938964844,174.28500366210938,99.16500091552734,1112.4100341796875
Wed Feb 27 15:32:44 2019,303.0331115722656,174.2899932861328,99.33000183105469,1112.4100341796875
Wed Feb 27 15:32:52 2019,303.4590148925781,174.23500061035156,99.31999969482422,1114.5849609375
Wed Feb 27 15:33:02 2019,303.8799133300781,174.27999877929688,99.26000213623047,1115.1300048828125
Wed Feb 27 15:33:11 2019,303.42999267578125,174.3426971435547,99.18499755859375,1114.6199951171875
Wed Feb 27 15:33:21 2019,302.6600036621094,174.33999633789062,99.22000122070312,1114.6199951171875
Wed Feb 27 15:33:30 2019,302.67999267578125,174.47999572753906,99.22000122070312,1114.6199951171875
Wed Feb 27 15:33:40 2019,302.3699951171875,174.47000122070312,99.08499908447266,1114.6199951171875
Wed Feb 27 15:33:49 2019,302.5325927734375,174.38999938964844,99.08499908447266,1113.43994140625
Wed Feb 27 15:33:58 2019,302.4872131347656,174.35000610351562,99.08499908447266,1113.239990234375
Wed Feb 27 15:34:07 2019,303.3999938964844,174.42999267578125,99.05999755859375,1112.8900146484375
Wed Feb 27 15:34:17 2019,303.30999755859375,174.42999267578125,99.08499908447266,1112.8900146484375
Wed Feb 27 15:34:27 2019,303.42498779296875,174.32000732421875,99.37000274658203,1112.8900146484375
Wed Feb 27 15:34:35 2019,303.3699951171875,174.33999633789062,99.29000091552734,1112.8900146484375
Wed Feb 27 15:34:46 2019,303.3299865722656,174.38999938964844,99.29000091552734,1112.8900146484375
Wed Feb 27 15:34:55 2019,303.29998779296875,174.4835968017578,99.58000183105469,1112.8900146484375
Wed Feb 27 15:35:04 2019,303.2724914550781,174.49000549316406,99.93000030517578,1111.75
Wed Feb 27 15:35:14 2019,303.79998779296875,174.47000122070312,99.98999786376953,1110.550048828125
Wed Feb 27 15:35:23 2019,304.5199890136719,174.47999572753906,100.36499786376953,1110.550048828125
Wed Feb 27 15:35:32 2019,304.3276062011719,174.50999450683594,100.61000061035156,1110.550048828125
Wed Feb 27 15:35:41 2019,303.9779052734375,174.52999877929688,100.55999755859375,1109.93994140625
Wed Feb 27 15:35:51 2019,303.6300048828125,174.6199951171875,100.51000213623047,1109.93994140625
Wed Feb 27 15:36:00 2019,304.534912109375,174.5800018310547,100.6500015258789,1111.52001953125
Wed Feb 27 15:36:10 2019,304.260009765625,174.5800018310547,100.5824966430664,1111.52001953125
Wed Feb 27 15:36:20 2019,304.29998779296875,174.6199951171875,100.55999755859375,1110.6199951171875
Wed Feb 27 15:36:29 2019,304.7799987792969,174.50999450683594,100.55000305175781,1110.6199951171875
Wed Feb 27 15:36:39 2019,304.9700012207031,174.4600067138672,100.49500274658203,1109.3399658203125
Wed Feb 27 15:36:48 2019,304.9800109863281,174.52000427246094,100.56999969482422,1109.9300537109375
Wed Feb 27 15:36:58 2019,305.2149963378906,174.58999633789062,100.5999984741211,1111.510009765625
Wed Feb 27 15:37:07 2019,305.2926940917969,174.5800018310547,100.61000061035156,1110.6800537109375
Wed Feb 27 15:37:16 2019,305.510009765625,174.56619262695312,100.3904037475586,1110.6800537109375
Wed Feb 27 15:37:26 2019,305.8800048828125,174.50999450683594,100.37000274658203,1110.6800537109375
Wed Feb 27 15:37:34 2019,305.7757873535156,174.48500061035156,100.36000061035156,1110.6800537109375
Wed Feb 27 15:37:43 2019,306.0421142578125,174.50999450683594,100.28929901123047,1110.6800537109375
Wed Feb 27 15:37:52 2019,305.510009765625,174.51100158691406,100.106201171875,1110.364990234375
Wed Feb 27 15:38:01 2019,305.79998779296875,174.5399932861328,100.11000061035156,1110.5799560546875
Wed Feb 27 15:38:10 2019,305.5596923828125,174.5399932861328,100.19000244140625,1110.421630859375
Wed Feb 27 15:38:20 2019,305.05999755859375,174.52999877929688,100.15499877929688,1110.3399658203125
Wed Feb 27 15:38:29 2019,304.9755859375,174.50999450683594,100.04000091552734,1110.3399658203125
Wed Feb 27 15:38:38 2019,304.8900146484375,174.50999450683594,99.83999633789062,1110.0899658203125
Wed Feb 27 15:38:47 2019,304.3900146484375,174.41000366210938,99.66000366210938,1110.1905517578125
Wed Feb 27 15:38:57 2019,304.29998779296875,174.52999877929688,99.69999694824219,1110.1905517578125
Wed Feb 27 15:39:06 2019,304.4280090332031,174.50999450683594,99.69999694824219,1110.1905517578125
Wed Feb 27 15:39:15 2019,304.7200012207031,174.58999633789062,100.05999755859375,1110.1905517578125
Wed Feb 27 15:39:24 2019,304.8800048828125,174.57000732421875,100.1500015258789,1110.719970703125
Wed Feb 27 15:39:33 2019,304.7380065917969,174.57000732421875,100.12999725341797,1111.5927734375
Wed Feb 27 15:39:44 2019,304.82501220703125,174.5688934326172,100.08499908447266,1111.7640380859375
Wed Feb 27 15:39:54 2019,304.8214111328125,174.55999755859375,99.94999694824219,1111.719970703125
Wed Feb 27 15:40:03 2019,305.17999267578125,174.5529022216797,99.95999908447266,1111.719970703125
Wed Feb 27 15:40:12 2019,305.3699951171875,174.47999572753906,99.7957992553711,1111.7099609375
Wed Feb 27 15:40:21 2019,305.40948486328125,174.46730041503906,99.7957992553711,1111.7099609375
Wed Feb 27 15:40:31 2019,305.2099914550781,174.52999877929688,99.7699966430664,1112.260009765625
Wed Feb 27 15:40:41 2019,305.4849853515625,174.58999633789062,99.80999755859375,1113.1500244140625
Wed Feb 27 15:40:50 2019,305.4812927246094,174.68130493164062,99.91999816894531,1113.2349853515625
Wed Feb 27 15:40:59 2019,305.3800964355469,174.7100067138672,99.92500305175781,1113.5823974609375
Wed Feb 27 15:41:08 2019,305.4100036621094,174.75,99.92500305175781,1113.010009765625
Wed Feb 27 15:41:18 2019,305.1400146484375,174.77389526367188,99.8499984741211,1113.75
Wed Feb 27 15:41:28 2019,305.3599853515625,174.74000549316406,99.82160186767578,1113.699951171875
Wed Feb 27 15:41:36 2019,305.1499938964844,174.74270629882812,99.80000305175781,1113.699951171875
Wed Feb 27 15:41:47 2019,305.0,174.7050018310547,99.6500015258789,1113.699951171875
Wed Feb 27 15:41:57 2019,304.80450439453125,174.8000030517578,99.72570037841797,1112.7633056640625
Wed Feb 27 15:42:06 2019,305.5,174.85850524902344,99.91000366210938,1113.199951171875
Wed Feb 27 15:42:15 2019,305.3821105957031,174.8800048828125,99.93499755859375,1113.087646484375
Wed Feb 27 15:42:24 2019,305.42718505859375,174.8699951171875,99.78500366210938,1112.9000244140625
Wed Feb 27 15:42:33 2019,305.2101135253906,174.8000030517578,99.6449966430664,1112.275390625
Wed Feb 27 15:42:42 2019,305.0931091308594,174.75,99.63500213623047,1111.6500244140625
Wed Feb 27 15:42:51 2019,304.6650085449219,174.6699981689453,99.58999633789062,1111.6500244140625
Wed Feb 27 15:43:01 2019,304.9490051269531,174.67999267578125,99.57499694824219,1111.6500244140625
Wed Feb 27 15:43:10 2019,305.25,174.6300048828125,99.55000305175781,1111.6500244140625
Wed Feb 27 15:43:20 2019,305.2200012207031,174.64999389648438,99.52999877929688,1111.6500244140625
Wed Feb 27 15:43:29 2019,305.20001220703125,174.60000610351562,99.61000061035156,1111.6500244140625
Wed Feb 27 15:43:37 2019,305.79998779296875,174.55999755859375,99.65499877929688,1111.6500244140625
Wed Feb 27 15:43:47 2019,305.75,174.55999755859375,99.65499877929688,1111.6500244140625
Wed Feb 27 15:43:56 2019,305.6499938964844,174.5500030517578,99.73999786376953,1111.6500244140625
Wed Feb 27 15:44:05 2019,305.8999938964844,174.5800018310547,99.77999877929688,1112.719970703125
Wed Feb 27 15:44:14 2019,305.8999938964844,174.60000610351562,99.8499984741211,1112.719970703125
Wed Feb 27 15:44:23 2019,305.79998779296875,174.63999938964844,99.80999755859375,1112.719970703125
Wed Feb 27 15:44:32 2019,305.69000244140625,174.57000732421875,99.6624984741211,1112.719970703125
Wed Feb 27 15:44:41 2019,305.29998779296875,174.57000732421875,99.55999755859375,1112.719970703125
Wed Feb 27 15:44:50 2019,305.5791015625,174.5471954345703,99.55999755859375,1112.719970703125
Wed Feb 27 15:44:59 2019,305.5,174.5800018310547,99.5999984741211,1112.47998046875
Wed Feb 27 15:45:09 2019,305.6966857910156,174.5399932861328,99.7249984741211,1112.47998046875
Wed Feb 27 15:45:18 2019,305.7099914550781,174.5399932861328,99.74500274658203,1112.6500244140625
Wed Feb 27 15:45:28 2019,305.6672058105469,174.54400634765625,99.62999725341797,1112.780029296875
Wed Feb 27 15:45:37 2019,305.4495849609375,174.52999877929688,99.5999984741211,1112.780029296875
Wed Feb 27 15:45:46 2019,305.591796875,174.49270629882812,99.68000030517578,1112.5899658203125
Wed Feb 27 15:45:55 2019,305.6318054199219,174.4600067138672,99.75,1112.9339599609375
Wed Feb 27 15:46:05 2019,305.64129638671875,174.42999267578125,99.98999786376953,1112.9339599609375
Wed Feb 27 15:46:14 2019,305.75,174.44000244140625,99.98249816894531,1113.530029296875
Wed Feb 27 15:46:23 2019,305.8092041015625,174.42999267578125,100.12999725341797,1113.780029296875
Wed Feb 27 15:46:32 2019,305.9336853027344,174.42999267578125,100.05999755859375,1113.92626953125
Wed Feb 27 15:46:41 2019,305.8500061035156,174.49989318847656,100.10030364990234,1113.719970703125
Wed Feb 27 15:46:51 2019,305.6099853515625,174.47999572753906,100.1061019897461,1113.89501953125
Wed Feb 27 15:47:00 2019,305.69000244140625,174.49000549316406,100.20999908447266,1113.68994140625
Wed Feb 27 15:47:09 2019,305.4700012207031,174.4199981689453,100.35880279541016,1113.6300048828125
Wed Feb 27 15:47:18 2019,305.4280090332031,174.4199981689453,100.33000183105469,1113.5400390625
