Zeit,TSLA,AAPL,EA,GOOG
Tue Mar  5 15:30:05 2019,282.0,175.83120727539062,96.26000213623047,1150.06005859375
Tue Mar  5 15:30:15 2019,282.5,175.83999633789062,95.8949966430664,1150.06005859375
Tue Mar  5 15:30:25 2019,283.42999267578125,175.91000366210938,95.80000305175781,1150.782470703125
Tue Mar  5 15:30:36 2019,283.4599914550781,175.7899932861328,95.85260009765625,1150.5250244140625
Tue Mar  5 15:30:46 2019,282.69439697265625,175.65469360351562,95.97000122070312,1150.4200439453125
Tue Mar  5 15:30:56 2019,282.989990234375,175.6750946044922,96.2699966430664,1150.4200439453125
Tue Mar  5 15:31:06 2019,283.1000061035156,175.64529418945312,96.51000213623047,1148.9599609375
Tue Mar  5 15:31:15 2019,282.2218017578125,175.50999450683594,96.68000030517578,1148.93994140625
Tue Mar  5 15:31:26 2019,282.0400085449219,175.4980010986328,96.85990142822266,1149.372314453125
Tue Mar  5 15:31:35 2019,281.2349853515625,175.3975067138672,96.87249755859375,1148.905029296875
Tue Mar  5 15:31:46 2019,280.1199951171875,175.27999877929688,96.66000366210938,1148.905029296875
Tue Mar  5 15:31:55 2019,279.4800109863281,175.27999877929688,96.44000244140625,1148.905029296875
Tue Mar  5 15:32:05 2019,279.2550048828125,175.2899932861328,96.28500366210938,1148.905029296875
Tue Mar  5 15:32:15 2019,279.07000732421875,175.35000610351562,96.28500366210938,1148.905029296875
Tue Mar  5 15:32:24 2019,280.4049987792969,175.27000427246094,96.2699966430664,1148.905029296875
Tue Mar  5 15:32:34 2019,280.118408203125,175.30670166015625,96.01799774169922,1148.905029296875
Tue Mar  5 15:32:44 2019,280.53271484375,175.3656005859375,96.28230285644531,1147.8900146484375
Tue Mar  5 15:32:53 2019,280.3599853515625,175.43479919433594,96.28230285644531,1147.8900146484375
Tue Mar  5 15:33:04 2019,279.79998779296875,175.35000610351562,96.21499633789062,1148.77001953125
Tue Mar  5 15:33:14 2019,279.79998779296875,175.25,96.21499633789062,1148.77001953125
Tue Mar  5 15:33:24 2019,279.4649963378906,175.1699981689453,96.30000305175781,1149.6199951171875
Tue Mar  5 15:33:34 2019,278.2149963378906,175.12989807128906,96.3949966430664,1149.6199951171875
Tue Mar  5 15:33:43 2019,277.9100036621094,175.23989868164062,96.44000244140625,1150.9949951171875
Tue Mar  5 15:33:53 2019,278.2900085449219,175.1898956298828,96.26000213623047,1151.9949951171875
Tue Mar  5 15:34:02 2019,278.07501220703125,175.22000122070312,96.43000030517578,1151.9949951171875
Tue Mar  5 15:34:12 2019,278.885009765625,175.1699981689453,96.48999786376953,1151.3699951171875
Tue Mar  5 15:34:22 2019,279.0,175.22000122070312,96.5250015258789,1150.9749755859375
Tue Mar  5 15:34:32 2019,278.489990234375,175.42999267578125,96.66999816894531,1152.300048828125
Tue Mar  5 15:34:42 2019,277.79998779296875,175.51100158691406,96.66999816894531,1152.300048828125
Tue Mar  5 15:34:52 2019,277.0799865722656,175.31790161132812,96.66999816894531,1152.300048828125
Tue Mar  5 15:35:02 2019,277.3500061035156,175.3000030517578,96.45999908447266,1152.300048828125
Tue Mar  5 15:35:12 2019,276.57080078125,175.25999450683594,96.2699966430664,1151.510009765625
Tue Mar  5 15:35:22 2019,276.4410095214844,175.58999633789062,96.37999725341797,1154.030029296875
Tue Mar  5 15:35:31 2019,276.6499938964844,175.58999633789062,96.27999877929688,1154.800048828125
Tue Mar  5 15:35:40 2019,276.05999755859375,175.50999450683594,96.25,1155.3399658203125
